# Data extracted from the paper by Roubik et al. Science vol 201, page 1030
1.138578987,0.293720168
2.197869343,0.879147737
4.149534188,0.988699753
4.070173673,1.466012997
6.841969061,3.327678417
7.975228593,2.109523262
6.829676807,0.303784001
1.965610443,3.743458508
6.785036517,9.322272701
10.20271436,10.07102191
12.07652826,11.02924262
12.16192708,12.0373512
13.06055552,13.09994824
9.97649376,14.4207545
9.968514578,12.45787567
10.12939214,12.03375697
15.99926678,16.02291679
17.06890851,19.15478176
17.00313417,22.97429409
15.88561734,28.06515613
18.15903732,27.32647076
24.25125079,26.01098396
26.10996895,23.25565012
9.930343896,23.06788775
11.96309449,23.12453275
23.31294209,15.18704353
25.26762609,16.03930646
28.91454368,13.18103399
35.01236414,13.24486744
40.12594169,11.18494451
39.13371959,7.098309276
40.43540457,7.312812698
42.21540917,5.193944448
40.25209903,2.219650354
36.52366439,5.024728276
34.1741187,7.036488585
31.98286273,7.987520847
32.14179941,7.085945138
27.17745414,5.857007303
25.96742193,8.189085054
22.88637932,10.25260222
18.17413307,11.0400253
14.74653517,7.85094025
14.9056875,7.00241532
18.0760107,6.901920754
22.86136351,4.098711829
22.85834436,3.35600092
10.75133705,5.032204267
11.81235264,6.04203807
13.68228478,6.045344758
15.14549428,5.994881822
16.03657485,5.200701593
17.89917477,3.400281787
19.11373569,2.182270401
10.98769337,3.175858301
12.93892691,3.179308758
13.91475933,3.234084766
15.94707861,3.184628213
14.06873598,1.112341135
17.08120076,2.178676175
